#This file provides an overview of the best-fitting parameter values encountered in previous research
#if s=1 in the original paper, all parameters are devided by 10
#drift criterion added to/substracted from drift rate values
#Criteria for incorporating results in review: ##
# 1. Whenever there is a choice, use the fit to average data, instead of individual Ss.
# 2. Negative drift rates multiplied by -1.
#Klauer, K., Voss, A., Schmitz, F., & Teige-Mocigemba, S. (2007). Process components of the implicit association test: A diffusion-model analysis.
#Journal of Personality and Social Psychology, 93, 353–368.
#Table 2.
#a	z	Ter	eta	sz	st	v
NA	NA	NA	0.004	NA	0.018	NA
NA	NA	NA	0.008	NA	0.020	NA
NA	NA	NA	0.000	NA	0.019	NA
NA	NA	NA	0.006	NA	0.019	NA
NA	NA	NA	0.000	NA	0.023	NA
NA	NA	NA	0.000	NA	0.040	NA
NA	NA	NA	0.017	NA	0.024	NA

#Table 4.

#a	z	Ter	eta	sz	st	v
0.124	0.062	0.470	0.009	0.053	0.017	0.369
0.164	0.082	0.570	0.010	0.064	0.019	0.224
0.121	0.061	0.470	0.004	0.057	0.013	0.319
0.157	0.079	0.560	0.006	0.061	0.021	0.194
##########################################################################################################


#Oberauer, K. (2005). Binding and inhibition in working memory: Individual and age differences in short-term recognition.
#Journal of Experimental Psychology: General, 134, 368-378.
#Table 4.

#a	z	Ter	eta	sz	st	v
0.19	0.12	0.36	0.00	0.00	0.29	0.19
0.19	0.12	0.36	0.00	0.00	0.29	0.37
0.19	0.10	0.36	0.00	0.00	0.29	0.18
0.19	0.12	0.39	0.00	0.09	0.27	0.19
0.19	0.12	0.39	0.00	0.09	0.27	0.39
0.19	0.10	0.39	0.00	0.09	0.27	0.15
0.21	0.14	0.52	0.00	0.00	0.34	0.15
0.21	0.14	0.52	0.00	0.00	0.34	0.39
0.21	0.12	0.52	0.00	0.00	0.34	0.13
0.16	0.09	0.43	0.07	0.04	0.24	0.14
0.16	0.09	0.43	0.07	0.04	0.24	0.22
0.16	0.12	0.43	0.07	0.04	0.24	0.15
0.16	0.08	0.45	0.05	0.00	0.31	0.11
0.16	0.08	0.45	0.05	0.00	0.31	0.20
0.16	0.11	0.45	0.05	0.00	0.31	0.15
0.21	0.11	0.60	0.10	0.00	0.25	0.13
0.21	0.11	0.60	0.10	0.00	0.25	0.28
0.21	0.15	0.60	0.10	0.00	0.25	0.18
0.17	0.12	0.44	0.04	0.02	0.46	0.10
0.17	0.12	0.44	0.04	0.02	0.46	0.35
0.17	0.10	0.44	0.04	0.02	0.46	0.08
0.17	0.12	0.48	0.07	0.04	0.51	0.09
0.17	0.12	0.48	0.07	0.04	0.51	0.37
0.17	0.10	0.48	0.07	0.04	0.51	0.07
0.24	0.17	0.62	0.11	0.09	0.53	0.11
0.24	0.17	0.62	0.11	0.09	0.53	0.43
0.24	0.14	0.62	0.11	0.09	0.53	0.07
