response,rt,feedback,subj_idx,split_by,trial,q_init
0.0,2.729578971862793,0.0,0,0,1,0.5
1.0,3.090592861175537,1.0,0,0,2,0.5
1.0,3.8926169872283936,1.0,0,0,3,0.5
1.0,2.4295830726623535,1.0,0,0,4,0.5
1.0,2.5665812492370605,1.0,0,0,5,0.5
1.0,3.1895976066589355,1.0,0,0,6,0.5
1.0,2.993588447570801,1.0,0,0,7,0.5
1.0,3.4156081676483154,1.0,0,0,8,0.5
1.0,2.4635825157165527,0.0,0,0,9,0.5
1.0,6.918397903442383,1.0,0,0,10,0.5
1.0,4.808550834655762,1.0,0,0,11,0.5
1.0,2.8485817909240723,1.0,0,0,12,0.5
1.0,2.5715811252593994,1.0,0,0,13,0.5
1.0,2.350584030151367,1.0,0,0,14,0.5
1.0,3.57161545753479,1.0,0,0,15,0.5
1.0,3.070591926574707,1.0,0,0,16,0.5
1.0,3.097593307495117,0.0,0,0,17,0.5
0.0,6.802406311035156,0.0,0,0,18,0.5
1.0,3.8746182918548584,1.0,0,0,19,0.5
1.0,4.824549674987793,0.0,0,0,20,0.5
1.0,3.7096219062805176,1.0,0,0,21,0.5
1.0,2.8775830268859863,1.0,0,0,22,0.5
1.0,3.1295948028564453,1.0,0,0,23,0.5
1.0,2.7015795707702637,1.0,0,0,24,0.5
1.0,2.6715798377990723,1.0,0,0,25,0.5
1.0,2.5185818672180176,1.0,0,0,26,0.5
1.0,2.449582576751709,1.0,0,0,27,0.5
1.0,2.50258207321167,1.0,0,0,28,0.5
1.0,2.547581434249878,1.0,0,0,29,0.5
1.0,2.4685823917388916,1.0,0,0,30,0.5
1.0,3.045590877532959,1.0,0,0,31,0.5
1.0,2.9815878868103027,1.0,0,0,32,0.5
1.0,4.0026092529296875,1.0,0,0,33,0.5
1.0,2.8995840549468994,1.0,0,0,34,0.5
1.0,2.6075806617736816,1.0,0,0,35,0.5
1.0,3.968611478805542,1.0,0,0,36,0.5
1.0,2.9455862045288086,0.0,0,0,37,0.5
0.0,2.8705825805664062,0.0,0,0,38,0.5
1.0,3.32560396194458,1.0,0,0,39,0.5
1.0,2.638580322265625,1.0,0,0,40,0.5
1.0,2.5645811557769775,1.0,0,0,41,0.5
1.0,2.6175804138183594,1.0,0,0,42,0.5
1.0,2.996588706970215,0.0,0,0,43,0.5
1.0,2.8595821857452393,1.0,0,0,44,0.5
1.0,5.0435333251953125,1.0,0,0,45,0.5
1.0,2.7435789108276367,1.0,0,0,46,0.5
1.0,2.785578727722168,1.0,0,0,47,0.5
1.0,2.5545814037323,1.0,0,0,48,0.5
1.0,3.098593235015869,1.0,0,0,49,0.5
1.0,2.597580909729004,1.0,0,0,50,0.5
1.0,2.2995846271514893,1.0,0,0,51,0.5
1.0,3.4236085414886475,1.0,0,0,52,0.5
1.0,2.536581516265869,0.0,0,0,53,0.5
1.0,3.4076077938079834,1.0,0,0,54,0.5
1.0,3.586616039276123,1.0,0,0,55,0.5
1.0,2.5715811252593994,1.0,0,0,56,0.5
1.0,2.6985795497894287,1.0,0,0,57,0.5
1.0,2.36358380317688,1.0,0,0,58,0.5
1.0,3.4486098289489746,1.0,0,0,59,0.5
1.0,3.317603588104248,1.0,0,0,60,0.5
1.0,4.511571884155273,1.0,0,0,61,0.5
1.0,3.056591510772705,1.0,0,0,62,0.5
1.0,3.8126227855682373,1.0,0,0,63,0.5
1.0,2.6595799922943115,1.0,0,0,64,0.5
1.0,3.2335996627807617,0.0,0,0,65,0.5
1.0,3.4276087284088135,1.0,0,0,66,0.5
1.0,2.7545788288116455,1.0,0,0,67,0.5
1.0,2.9715874195098877,1.0,0,0,68,0.5
1.0,2.318584442138672,1.0,0,0,69,0.5
1.0,2.5255818367004395,1.0,0,0,70,0.5
1.0,2.1545865535736084,0.0,0,0,71,0.5
1.0,3.1675965785980225,1.0,0,0,72,0.5
1.0,2.222585678100586,1.0,0,0,73,0.5
1.0,2.1625864505767822,1.0,0,0,74,0.5
1.0,2.8975839614868164,1.0,0,0,75,0.5
1.0,2.778578519821167,1.0,0,0,76,0.5
1.0,3.8456203937530518,1.0,0,0,77,0.5
1.0,3.2065982818603516,1.0,0,0,78,0.5
1.0,2.5755810737609863,1.0,0,0,79,0.5
1.0,3.279601812362671,1.0,0,0,80,0.5
1.0,2.599580764770508,1.0,0,0,81,0.5
1.0,2.5615811347961426,1.0,0,0,82,0.5
1.0,3.3676059246063232,1.0,0,0,83,0.5
1.0,2.6105806827545166,1.0,0,0,84,0.5
1.0,4.49957275390625,1.0,0,0,85,0.5
1.0,3.010589122772217,1.0,0,0,86,0.5
1.0,2.0965871810913086,1.0,0,0,87,0.5
1.0,2.586580991744995,1.0,0,0,88,0.5
1.0,3.324604034423828,1.0,0,0,89,0.5
1.0,3.838620901107788,1.0,0,0,90,0.5
1.0,3.1855974197387695,1.0,0,0,91,0.5
1.0,4.117600440979004,1.0,0,0,92,0.5
1.0,2.7625787258148193,1.0,0,0,93,0.5
1.0,2.5565812587738037,0.0,0,0,94,0.5
0.0,2.9065842628479004,0.0,0,0,95,0.5
0.0,3.907615900039673,0.0,0,0,96,0.5
1.0,4.2975873947143555,1.0,0,0,97,0.5
0.0,2.408583164215088,0.0,0,0,98,0.5
1.0,2.7055792808532715,1.0,0,0,99,0.5
1.0,2.69357967376709,1.0,0,0,100,0.5
1.0,2.361583709716797,0.0,0,0,101,0.5
0.0,2.267585039138794,0.0,0,0,102,0.5
1.0,3.4186081886291504,1.0,0,0,103,0.5
1.0,3.4696106910705566,0.0,0,0,104,0.5
1.0,4.0666046142578125,1.0,0,0,105,0.5
1.0,3.816622495651245,1.0,0,0,106,0.5
1.0,2.9475862979888916,1.0,0,0,107,0.5
1.0,3.626617908477783,1.0,0,0,108,0.5
1.0,2.6155805587768555,1.0,0,0,109,0.5
1.0,2.2795848846435547,1.0,0,0,110,0.5
1.0,3.037590503692627,1.0,0,0,111,0.5
0.0,2.069587469100952,0.0,0,0,112,0.5
1.0,2.3215842247009277,1.0,0,0,113,0.5
1.0,4.28958797454834,0.0,0,0,114,0.5
1.0,2.627580404281616,1.0,0,0,115,0.5
1.0,2.5685811042785645,1.0,0,0,116,0.5
1.0,2.9465861320495605,0.0,0,0,117,0.5
1.0,3.1785969734191895,1.0,0,0,118,0.5
1.0,4.46457576751709,1.0,0,0,119,0.5
1.0,2.360583782196045,1.0,0,0,120,0.5
0.0,2.2935848236083984,0.0,0,0,121,0.5
1.0,2.300584554672241,1.0,0,0,122,0.5
1.0,2.3795835971832275,0.0,0,0,123,0.5
1.0,3.28560209274292,1.0,0,0,124,0.5
1.0,3.370605945587158,0.0,0,0,125,0.5
0.0,7.141381740570068,0.0,0,0,126,0.5
0.0,2.9415860176086426,0.0,0,0,127,0.5
1.0,2.209585666656494,1.0,0,0,128,0.5
1.0,4.20759391784668,1.0,0,0,129,0.5
1.0,2.4275829792022705,1.0,0,0,130,0.5
1.0,3.492611885070801,1.0,0,0,131,0.5
1.0,2.163586378097534,1.0,0,0,132,0.5
1.0,2.3745837211608887,0.0,0,0,133,0.5
1.0,3.7276227474212646,1.0,0,0,134,0.5
1.0,3.3826065063476562,0.0,0,0,135,0.5
1.0,3.4766111373901367,1.0,0,0,136,0.5
1.0,3.2125988006591797,1.0,0,0,137,0.5
1.0,2.4255828857421875,1.0,0,0,138,0.5
1.0,2.797579288482666,1.0,0,0,139,0.5
1.0,2.841581344604492,1.0,0,0,140,0.5
1.0,2.808579921722412,1.0,0,0,141,0.5
1.0,2.830580711364746,1.0,0,0,142,0.5
1.0,2.724579095840454,1.0,0,0,143,0.5
1.0,2.847581624984741,0.0,0,0,144,0.5
0.0,7.064387321472168,0.0,0,0,145,0.5
1.0,2.9205851554870605,1.0,0,0,146,0.5
1.0,4.03360652923584,0.0,0,0,147,0.5
1.0,4.648562431335449,1.0,0,0,148,0.5
1.0,2.794579029083252,0.0,0,0,149,0.5
0.0,4.760554313659668,0.0,0,0,150,0.5
0.0,3.1365952491760254,0.0,0,0,151,0.5
1.0,5.551496505737305,1.0,0,0,152,0.5
1.0,3.3816065788269043,1.0,0,0,153,0.5
1.0,2.226585626602173,1.0,0,0,154,0.5
1.0,2.642580270767212,1.0,0,0,155,0.5
1.0,2.6675798892974854,1.0,0,0,156,0.5
1.0,2.3435840606689453,1.0,0,0,157,0.5
1.0,2.499582052230835,1.0,0,0,158,0.5
1.0,2.3265843391418457,1.0,0,0,159,0.5
1.0,2.1485865116119385,1.0,0,0,160,0.5
1.0,3.4706106185913086,1.0,0,0,161,0.5
1.0,2.451582670211792,1.0,0,0,162,0.5
1.0,3.4096078872680664,1.0,0,0,163,0.5
1.0,3.020589828491211,1.0,0,0,164,0.5
1.0,2.7025794982910156,0.0,0,0,165,0.5
1.0,5.003536224365234,1.0,0,0,166,0.5
1.0,3.1265945434570312,0.0,0,0,167,0.5
0.0,3.118594169616699,0.0,0,0,168,0.5
1.0,3.55161452293396,1.0,0,0,169,0.5
0.0,2.5165817737579346,0.0,0,0,170,0.5
1.0,3.009589195251465,1.0,0,0,171,0.5
1.0,2.449582576751709,0.0,0,0,172,0.5
1.0,4.309586524963379,1.0,0,0,173,0.5
1.0,2.0125880241394043,1.0,0,0,174,0.5
