subj_idx,response,cond,rt,trial,split_by,feedback,q_init
42,0.0,CD,1.255,1.0,1,0.0,0.5
42,1.0,EF,0.778,1.0,2,0.0,0.5
42,1.0,AB,0.647,1.0,0,1.0,0.5
42,1.0,AB,0.75,2.0,0,1.0,0.5
42,0.0,EF,0.772,2.0,2,1.0,0.5
42,1.0,CD,0.68,2.0,1,0.0,0.5
42,1.0,AB,0.535,3.0,0,1.0,0.5
42,1.0,CD,0.58,3.0,1,1.0,0.5
42,0.0,EF,0.461,3.0,2,0.0,0.5
42,1.0,CD,0.869,4.0,1,1.0,0.5
42,0.0,EF,0.572,4.0,2,1.0,0.5
42,1.0,AB,0.496,4.0,0,1.0,0.5
42,1.0,CD,0.621,5.0,1,1.0,0.5
42,0.0,EF,0.801,5.0,2,1.0,0.5
42,1.0,AB,0.598,5.0,0,0.0,0.5
42,1.0,AB,0.553,6.0,0,1.0,0.5
42,1.0,CD,0.657,6.0,1,1.0,0.5
42,0.0,EF,0.601,6.0,2,1.0,0.5
42,1.0,CD,0.564,7.0,1,1.0,0.5
42,1.0,AB,0.561,7.0,0,1.0,0.5
42,0.0,EF,0.839,7.0,2,0.0,0.5
42,1.0,CD,0.619,8.0,1,1.0,0.5
42,0.0,EF,0.555,8.0,2,0.0,0.5
42,1.0,AB,0.57,8.0,0,1.0,0.5
42,1.0,CD,0.502,9.0,1,1.0,0.5
42,1.0,AB,0.572,9.0,0,1.0,0.5
42,0.0,EF,0.666,9.0,2,0.0,0.5
42,1.0,CD,0.622,10.0,1,0.0,0.5
42,1.0,AB,0.535,10.0,0,0.0,0.5
42,0.0,EF,0.839,10.0,2,0.0,0.5
42,1.0,EF,0.726,11.0,2,1.0,0.5
42,0.0,CD,0.704,11.0,1,1.0,0.5
42,0.0,AB,0.78,11.0,0,0.0,0.5
42,0.0,CD,0.619,12.0,1,0.0,0.5
42,0.0,AB,0.697,12.0,0,0.0,0.5
42,0.0,EF,0.516,12.0,2,1.0,0.5
42,0.0,EF,0.61,13.0,2,0.0,0.5
42,1.0,AB,0.523,13.0,0,1.0,0.5
42,1.0,CD,0.484,13.0,1,1.0,0.5
42,0.0,EF,0.528,14.0,2,0.0,0.5
42,1.0,CD,0.542,14.0,1,0.0,0.5
42,0.0,AB,0.605,14.0,0,0.0,0.5
42,0.0,EF,0.503,15.0,2,1.0,0.5
42,1.0,CD,0.596,15.0,1,0.0,0.5
42,1.0,AB,0.557,15.0,0,1.0,0.5
42,0.0,EF,0.619,16.0,2,1.0,0.5
42,1.0,CD,0.692,16.0,1,1.0,0.5
42,1.0,AB,1.166,16.0,0,0.0,0.5
42,1.0,CD,0.656,17.0,1,1.0,0.5
42,1.0,AB,0.768,17.0,0,1.0,0.5
42,0.0,EF,1.237,17.0,2,1.0,0.5
42,1.0,CD,0.97,18.0,1,0.0,0.5
42,0.0,EF,0.741,18.0,2,1.0,0.5
42,1.0,AB,1.002,18.0,0,1.0,0.5
42,1.0,CD,1.242,19.0,1,1.0,0.5
42,1.0,AB,1.109,19.0,0,0.0,0.5
42,0.0,EF,1.0,19.0,2,1.0,0.5
42,0.0,EF,1.097,20.0,2,1.0,0.5
42,1.0,AB,1.005,20.0,0,0.0,0.5
42,0.0,CD,1.216,20.0,1,0.0,0.5
42,0.0,EF,1.574,21.0,2,0.0,0.5
42,1.0,AB,0.774,21.0,0,1.0,0.5
42,1.0,CD,0.682,21.0,1,0.0,0.5
42,1.0,AB,0.851,22.0,0,1.0,0.5
42,0.0,EF,0.627,22.0,2,1.0,0.5
42,1.0,CD,0.673,22.0,1,1.0,0.5
42,0.0,EF,0.71,23.0,2,1.0,0.5
42,1.0,CD,0.651,23.0,1,1.0,0.5
42,0.0,AB,0.698,23.0,0,0.0,0.5
42,0.0,EF,0.535,24.0,2,0.0,0.5
42,0.0,CD,0.915,24.0,1,1.0,0.5
42,1.0,AB,0.673,24.0,0,1.0,0.5
42,0.0,CD,0.907,25.0,1,0.0,0.5
42,1.0,AB,0.805,25.0,0,0.0,0.5
42,0.0,EF,0.71,25.0,2,0.0,0.5
42,1.0,AB,0.742,26.0,0,0.0,0.5
42,1.0,CD,0.906,26.0,1,1.0,0.5
42,0.0,EF,0.717,26.0,2,1.0,0.5
42,1.0,AB,0.796,27.0,0,1.0,0.5
42,1.0,CD,0.678,27.0,1,1.0,0.5
42,0.0,EF,0.728,27.0,2,0.0,0.5
42,1.0,AB,0.566,28.0,0,1.0,0.5
42,0.0,EF,0.697,28.0,2,0.0,0.5
42,1.0,CD,0.89,28.0,1,1.0,0.5
42,0.0,EF,2.054,29.0,2,0.0,0.5
42,1.0,AB,1.005,29.0,0,1.0,0.5
42,1.0,CD,0.75,29.0,1,1.0,0.5
42,1.0,AB,1.559,30.0,0,1.0,0.5
42,1.0,CD,2.4,30.0,1,1.0,0.5
42,0.0,EF,0.887,30.0,2,0.0,0.5
42,0.0,EF,0.759,31.0,2,0.0,0.5
42,1.0,CD,0.676,31.0,1,0.0,0.5
42,1.0,AB,1.115,31.0,0,0.0,0.5
42,0.0,EF,0.726,32.0,2,1.0,0.5
42,1.0,AB,0.751,32.0,0,0.0,0.5
42,1.0,CD,0.938,32.0,1,0.0,0.5
42,1.0,CD,0.744,33.0,1,1.0,0.5
42,0.0,EF,1.053,33.0,2,1.0,0.5
42,1.0,AB,0.968,33.0,0,1.0,0.5
42,1.0,AB,0.821,34.0,0,1.0,0.5
42,1.0,CD,0.72,34.0,1,0.0,0.5
42,0.0,EF,0.671,34.0,2,0.0,0.5
42,1.0,CD,0.806,35.0,1,1.0,0.5
42,0.0,EF,0.778,35.0,2,0.0,0.5
42,0.0,AB,0.93,35.0,0,0.0,0.5
42,1.0,AB,0.672,36.0,0,1.0,0.5
42,1.0,CD,2.398,36.0,1,1.0,0.5
42,0.0,EF,1.31,36.0,2,0.0,0.5
42,0.0,EF,1.196,37.0,2,0.0,0.5
42,1.0,AB,1.307,37.0,0,1.0,0.5
42,1.0,CD,0.974,37.0,1,1.0,0.5
42,1.0,AB,1.436,38.0,0,1.0,0.5
42,1.0,EF,1.292,38.0,2,1.0,0.5
42,1.0,CD,1.097,38.0,1,0.0,0.5
42,1.0,AB,1.265,39.0,0,1.0,0.5
42,1.0,EF,1.403,39.0,2,1.0,0.5
42,1.0,CD,1.337,39.0,1,1.0,0.5
42,1.0,AB,2.024,40.0,0,1.0,0.5
42,1.0,EF,1.448,40.0,2,1.0,0.5
42,1.0,CD,1.051,40.0,1,0.0,0.5
42,1.0,AB,1.319,41.0,0,1.0,0.5
42,1.0,EF,1.393,41.0,2,1.0,0.5
42,1.0,CD,0.828,41.0,1,1.0,0.5
42,1.0,EF,1.798,42.0,2,1.0,0.5
42,1.0,CD,1.614,42.0,1,1.0,0.5
42,1.0,AB,2.141,42.0,0,1.0,0.5
42,1.0,AB,1.184,43.0,0,1.0,0.5
42,1.0,EF,1.604,43.0,2,1.0,0.5
42,1.0,CD,1.083,43.0,1,0.0,0.5
42,1.0,AB,1.067,44.0,0,1.0,0.5
42,1.0,EF,1.71,44.0,2,1.0,0.5
42,1.0,CD,1.96,44.0,1,1.0,0.5
42,1.0,AB,1.099,45.0,0,1.0,0.5
42,1.0,EF,1.243,45.0,2,1.0,0.5
42,1.0,CD,1.556,45.0,1,0.0,0.5
42,1.0,EF,1.371,46.0,2,1.0,0.5
42,1.0,AB,1.04,46.0,0,1.0,0.5
42,1.0,CD,1.593,46.0,1,1.0,0.5
42,1.0,AB,1.016,47.0,0,1.0,0.5
42,1.0,EF,1.105,47.0,2,0.0,0.5
42,1.0,CD,1.169,47.0,1,1.0,0.5
42,1.0,EF,2.024,48.0,2,0.0,0.5
42,1.0,CD,1.256,48.0,1,1.0,0.5
42,1.0,AB,0.873,48.0,0,1.0,0.5
42,1.0,AB,1.13,49.0,0,1.0,0.5
42,1.0,CD,0.879,49.0,1,1.0,0.5
42,1.0,EF,2.193,49.0,2,1.0,0.5
42,1.0,CD,1.257,50.0,1,1.0,0.5
42,1.0,AB,0.801,50.0,0,1.0,0.5
42,1.0,EF,1.892,50.0,2,1.0,0.5
42,1.0,EF,1.377,51.0,2,0.0,0.5
42,1.0,CD,1.749,51.0,1,1.0,0.5
42,1.0,AB,0.88,51.0,0,1.0,0.5
42,1.0,CD,1.343,52.0,1,1.0,0.5
42,1.0,AB,0.846,52.0,0,1.0,0.5
42,1.0,EF,1.956,52.0,2,1.0,0.5
42,1.0,EF,1.325,53.0,2,0.0,0.5
42,1.0,CD,1.128,53.0,1,0.0,0.5
42,1.0,AB,0.904,53.0,0,1.0,0.5
42,1.0,AB,0.77,54.0,0,1.0,0.5
42,1.0,CD,0.939,54.0,1,1.0,0.5
42,1.0,EF,1.478,54.0,2,0.0,0.5
42,1.0,CD,1.902,55.0,1,1.0,0.5
42,0.0,EF,2.171,55.0,2,0.0,0.5
42,1.0,AB,0.887,55.0,0,1.0,0.5
42,1.0,EF,3.298,56.0,2,0.0,0.5
42,1.0,AB,0.757,56.0,0,1.0,0.5
42,1.0,CD,0.934,56.0,1,0.0,0.5
42,1.0,CD,0.988,57.0,1,0.0,0.5
42,0.0,EF,2.819,57.0,2,0.0,0.5
42,1.0,AB,0.798,57.0,0,1.0,0.5
42,1.0,CD,1.633,58.0,1,1.0,0.5
42,0.0,EF,1.787,58.0,2,1.0,0.5
42,1.0,AB,0.77,58.0,0,1.0,0.5
42,0.0,EF,4.508,59.0,2,1.0,0.5
42,1.0,CD,0.828,59.0,1,1.0,0.5
42,1.0,AB,0.705,59.0,0,0.0,0.5
42,1.0,AB,0.75,60.0,0,0.0,0.5
42,1.0,CD,0.782,60.0,1,1.0,0.5
42,0.0,EF,1.546,60.0,2,0.0,0.5
50,1.0,CD,1.389,1.0,1,0.0,0.5
50,0.0,AB,1.267,1.0,0,0.0,0.5
50,0.0,CD,1.469,2.0,1,0.0,0.5
50,0.0,AB,0.867,2.0,0,0.0,0.5
50,0.0,EF,1.412,2.0,2,1.0,0.5
50,0.0,EF,1.065,3.0,2,0.0,0.5
50,1.0,AB,1.2,3.0,0,1.0,0.5
50,1.0,CD,0.895,3.0,1,1.0,0.5
50,1.0,AB,1.17,4.0,0,0.0,0.5
50,1.0,EF,1.124,4.0,2,1.0,0.5
50,1.0,CD,0.983,4.0,1,0.0,0.5
50,1.0,EF,0.847,5.0,2,1.0,0.5
50,1.0,AB,0.881,5.0,0,1.0,0.5
50,0.0,CD,0.988,5.0,1,0.0,0.5
50,1.0,CD,0.87,6.0,1,0.0,0.5
50,1.0,AB,0.886,6.0,0,1.0,0.5
50,1.0,EF,0.544,6.0,2,0.0,0.5
50,1.0,EF,1.203,7.0,2,1.0,0.5
50,1.0,AB,1.019,7.0,0,1.0,0.5
50,0.0,CD,1.01,7.0,1,1.0,0.5
50,1.0,AB,1.087,8.0,0,1.0,0.5
50,1.0,EF,0.636,8.0,2,1.0,0.5
50,0.0,CD,0.802,8.0,1,0.0,0.5
50,1.0,AB,0.844,9.0,0,1.0,0.5
50,1.0,EF,0.711,9.0,2,1.0,0.5
50,0.0,CD,0.837,9.0,1,0.0,0.5
50,1.0,AB,0.875,10.0,0,1.0,0.5
50,0.0,CD,0.658,10.0,1,0.0,0.5
50,1.0,EF,0.551,10.0,2,0.0,0.5
50,0.0,CD,0.892,11.0,1,0.0,0.5
50,1.0,AB,0.983,11.0,0,1.0,0.5
50,1.0,EF,0.824,11.0,2,0.0,0.5
50,1.0,AB,0.891,12.0,0,1.0,0.5
50,0.0,EF,0.632,12.0,2,0.0,0.5
50,0.0,CD,0.814,12.0,1,1.0,0.5
50,1.0,AB,0.772,13.0,0,1.0,0.5
50,1.0,EF,0.799,13.0,2,0.0,0.5
50,0.0,CD,0.98,13.0,1,0.0,0.5
50,1.0,AB,0.654,14.0,0,1.0,0.5
50,0.0,CD,0.812,14.0,1,0.0,0.5
50,0.0,EF,1.211,14.0,2,1.0,0.5
50,0.0,EF,0.703,15.0,2,0.0,0.5
50,1.0,AB,0.945,15.0,0,0.0,0.5
50,1.0,CD,1.364,15.0,1,1.0,0.5
50,1.0,AB,0.747,16.0,0,1.0,0.5
50,0.0,CD,0.889,16.0,1,1.0,0.5
50,0.0,EF,0.649,16.0,2,0.0,0.5
50,0.0,CD,1.251,17.0,1,1.0,0.5
50,1.0,AB,0.956,17.0,0,1.0,0.5
50,0.0,EF,1.257,17.0,2,1.0,0.5
50,1.0,AB,0.807,18.0,0,1.0,0.5
50,0.0,CD,0.94,18.0,1,0.0,0.5
50,1.0,EF,1.19,18.0,2,1.0,0.5
50,0.0,EF,0.999,19.0,2,1.0,0.5
50,0.0,CD,0.89,19.0,1,0.0,0.5
50,1.0,AB,0.972,19.0,0,1.0,0.5
50,0.0,CD,0.669,20.0,1,0.0,0.5
50,1.0,AB,0.966,20.0,0,0.0,0.5
50,1.0,EF,0.858,20.0,2,0.0,0.5
50,0.0,CD,0.846,21.0,1,1.0,0.5
50,0.0,EF,0.861,21.0,2,0.0,0.5
50,1.0,AB,0.806,21.0,0,1.0,0.5
50,1.0,EF,0.783,22.0,2,1.0,0.5
50,0.0,CD,0.613,22.0,1,1.0,0.5
50,1.0,AB,0.661,22.0,0,0.0,0.5
50,0.0,EF,0.723,23.0,2,1.0,0.5
50,0.0,CD,0.612,23.0,1,1.0,0.5
50,1.0,AB,0.641,23.0,0,1.0,0.5
50,0.0,EF,0.74,24.0,2,1.0,0.5
50,1.0,AB,0.791,24.0,0,1.0,0.5
50,0.0,CD,0.877,24.0,1,0.0,0.5
50,1.0,AB,0.656,25.0,0,1.0,0.5
50,1.0,EF,0.661,25.0,2,1.0,0.5
50,0.0,CD,0.58,25.0,1,0.0,0.5
50,0.0,CD,0.518,26.0,1,0.0,0.5
50,0.0,EF,0.914,26.0,2,0.0,0.5
50,1.0,AB,0.66,26.0,0,1.0,0.5
50,1.0,CD,0.779,27.0,1,1.0,0.5
50,1.0,EF,0.833,27.0,2,0.0,0.5
50,1.0,AB,0.704,27.0,0,0.0,0.5
50,0.0,CD,0.81,28.0,1,0.0,0.5
50,0.0,EF,1.149,28.0,2,0.0,0.5
50,1.0,AB,0.707,28.0,0,1.0,0.5
50,1.0,EF,0.81,29.0,2,0.0,0.5
50,0.0,CD,1.193,29.0,1,0.0,0.5
50,1.0,AB,0.899,29.0,0,1.0,0.5
50,0.0,EF,0.878,30.0,2,0.0,0.5
50,1.0,AB,0.695,30.0,0,1.0,0.5
50,0.0,CD,0.727,30.0,1,1.0,0.5
50,0.0,CD,0.809,31.0,1,1.0,0.5
50,0.0,EF,1.432,31.0,2,1.0,0.5
50,1.0,AB,0.885,31.0,0,1.0,0.5
50,1.0,AB,0.714,32.0,0,1.0,0.5
50,0.0,EF,1.49,32.0,2,0.0,0.5
50,0.0,CD,0.844,32.0,1,0.0,0.5
50,0.0,EF,1.124,33.0,2,0.0,0.5
50,1.0,AB,0.877,33.0,0,1.0,0.5
50,0.0,CD,0.849,33.0,1,1.0,0.5
