response,rt,difficulty
1.0,1.06,hard
1.0,1.052,hard
1.0,1.398,hard
0.0,0.481,hard
1.0,1.798,hard
1.0,0.947,hard
1.0,2.093,hard
1.0,0.999,hard
0.0,1.019,hard
0.0,0.852,hard
1.0,0.907,hard
1.0,1.622,hard
1.0,4.679,hard
0.0,1.448,hard
0.0,1.371,hard
1.0,2.045,hard
0.0,0.847,hard
1.0,0.598,hard
0.0,1.437,hard
1.0,3.056,hard
1.0,1.881,hard
1.0,1.597,hard
1.0,3.643,hard
0.0,1.975,hard
1.0,1.442,hard
0.0,0.821999999998,hard
1.0,2.269,hard
1.0,3.653,hard
1.0,1.01,hard
1.0,2.426,hard
1.0,0.698000000002,hard
1.0,1.37,hard
1.0,1.174,hard
0.0,1.325,hard
1.0,1.127,hard
0.0,0.933999999998,hard
1.0,1.771,hard
1.0,1.422,hard
1.0,1.745,hard
1.0,1.429,hard
1.0,0.476000000002,hard
0.0,1.283,hard
1.0,2.447,hard
1.0,0.476000000002,hard
0.0,0.826999999998,hard
1.0,2.807,hard
0.0,0.479999999998,hard
0.0,1.421,hard
1.0,0.584000000002,hard
0.0,0.700999999998,hard
1.0,0.530000000002,hard
1.0,0.559000000002,hard
0.0,0.797999999998,hard
1.0,0.465000000002,hard
1.0,1.155,hard
1.0,0.548000000002,hard
0.0,3.775,hard
0.0,0.721999999998,hard
0.0,0.760999999998,hard
1.0,1.979,hard
0.0,1.333,hard
1.0,0.541000000002,hard
0.0,2.272,hard
0.0,0.607999999998,hard
1.0,1.266,hard
1.0,3.439,hard
1.0,0.600000000002,hard
0.0,0.568999999998,hard
1.0,2.165,hard
1.0,1.311,hard
0.0,0.675999999998,hard
0.0,0.699999999998,hard
1.0,0.582000000002,hard
1.0,3.141,hard
1.0,3.125,hard
1.0,0.806000000002,hard
1.0,2.37,hard
1.0,1.459,hard
0.0,1.304,hard
0.0,1.47,hard
1.0,2.782,hard
0.0,0.717999999998,hard
1.0,0.698000000002,hard
1.0,1.371,hard
1.0,0.707000000002,hard
1.0,0.887000000002,hard
1.0,1.123,hard
0.0,0.950999999998,hard
1.0,0.672000000002,hard
1.0,0.456000000002,hard
1.0,0.981000000002,hard
0.0,1.021,hard
1.0,0.482000000002,hard
0.0,1.288,hard
1.0,0.497000000002,hard
0.0,1.462,hard
1.0,0.853000000002,hard
0.0,0.925999999998,hard
1.0,0.550000000002,hard
0.0,1.317,hard
1.0,1.214,hard
1.0,1.746,hard
0.0,4.786,hard
1.0,1.008,hard
1.0,0.996000000002,hard
1.0,0.507000000002,hard
1.0,0.793000000002,hard
1.0,0.467000000002,hard
1.0,0.510000000002,hard
1.0,0.892000000002,hard
1.0,0.866000000002,hard
0.0,0.410999999998,hard
0.0,0.864999999998,hard
1.0,1.688,hard
0.0,1.309,hard
0.0,1.507,hard
1.0,0.561000000002,hard
0.0,1.155,hard
1.0,1.023,hard
1.0,0.885000000002,hard
0.0,1.654,hard
1.0,0.774000000002,hard
1.0,0.565000000002,hard
1.0,1.861,hard
1.0,0.671000000002,hard
1.0,0.548000000002,hard
1.0,0.533000000002,hard
1.0,2.673,hard
1.0,0.828000000002,hard
1.0,1.787,hard
1.0,0.467000000002,hard
1.0,0.930000000002,hard
1.0,3.733,hard
0.0,1.379,hard
1.0,0.801000000002,hard
1.0,0.884000000002,hard
0.0,1.117,hard
1.0,1.204,hard
1.0,0.988000000002,hard
0.0,0.575999999998,hard
1.0,2.346,hard
1.0,0.519000000002,hard
1.0,0.845000000002,hard
0.0,0.484999999998,hard
1.0,1.22,hard
0.0,0.486999999998,hard
0.0,1.89,hard
1.0,0.811000000002,hard
1.0,0.575000000002,hard
1.0,2.661,hard
1.0,0.528000000002,hard
1.0,1.491,hard
0.0,1.053,hard
1.0,0.752000000002,hard
1.0,0.557000000002,hard
1.0,0.529000000002,hard
0.0,0.542999999998,hard
0.0,0.745999999998,hard
0.0,1.392,hard
1.0,0.719000000002,hard
1.0,1.562,hard
1.0,0.472000000002,hard
1.0,0.713000000002,hard
1.0,1.73,hard
1.0,1.521,hard
0.0,1.943,hard
1.0,1.803,hard
1.0,0.912000000002,hard
