response,rt,difficulty,subj_idx
1.0,1.929,easy,0
1.0,1.709,easy,0
0.0,0.917999999998,easy,0
1.0,0.559000000002,easy,0
1.0,1.132,easy,0
1.0,0.815000000002,easy,0
1.0,0.737000000002,easy,0
1.0,0.794000000002,easy,0
1.0,0.661000000002,easy,0
1.0,0.733000000002,easy,0
1.0,1.005,easy,0
1.0,0.836000000002,easy,0
0.0,0.612999999998,easy,0
1.0,1.325,easy,0
1.0,0.681000000002,easy,0
1.0,1.18,hard,0
1.0,2.631,hard,0
1.0,1.547,hard,0
1.0,1.561,hard,0
1.0,1.121,hard,0
1.0,1.462,hard,0
1.0,0.618000000002,hard,0
1.0,0.710000000002,hard,0
0.0,1.209,hard,0
1.0,0.486000000002,hard,0
1.0,0.830000000002,hard,0
1.0,0.822000000002,hard,0
1.0,1.606,hard,0
1.0,0.637000000002,hard,0
1.0,0.758000000002,hard,0
1.0,0.650000000002,easy,1
1.0,0.915000000002,easy,1
1.0,0.425000000002,easy,1
1.0,0.505000000002,easy,1
1.0,0.894000000002,easy,1
1.0,0.654000000002,easy,1
0.0,0.988999999998,easy,1
1.0,0.613000000002,easy,1
0.0,2.416,easy,1
1.0,1.077,easy,1
1.0,1.423,easy,1
1.0,0.772000000002,easy,1
1.0,0.916000000002,easy,1
0.0,1.879,easy,1
0.0,1.818,easy,1
1.0,0.480000000002,hard,1
1.0,0.661000000002,hard,1
1.0,1.275,hard,1
1.0,0.537000000002,hard,1
0.0,0.860999999998,hard,1
1.0,0.953000000002,hard,1
1.0,1.45,hard,1
1.0,2.347,hard,1
1.0,0.905000000002,hard,1
1.0,0.525000000002,hard,1
1.0,2.191,hard,1
1.0,0.668000000002,hard,1
1.0,0.743000000002,hard,1
1.0,0.640000000002,hard,1
1.0,0.667000000002,hard,1
1.0,0.501000000002,easy,2
0.0,0.620999999998,easy,2
1.0,0.614000000002,easy,2
1.0,1.179,easy,2
0.0,0.818999999998,easy,2
1.0,0.441000000002,easy,2
0.0,1.547,easy,2
0.0,1.92,easy,2
1.0,0.919000000002,easy,2
1.0,2.613,easy,2
1.0,1.019,easy,2
0.0,0.789999999998,easy,2
1.0,1.937,easy,2
1.0,0.710000000002,easy,2
1.0,2.316,easy,2
1.0,0.781000000002,hard,2
1.0,1.149,hard,2
1.0,1.442,hard,2
1.0,1.186,hard,2
1.0,0.743000000002,hard,2
1.0,0.556000000002,hard,2
1.0,0.555000000002,hard,2
1.0,1.262,hard,2
1.0,0.768000000002,hard,2
1.0,1.393,hard,2
1.0,1.774,hard,2
1.0,0.583000000002,hard,2
1.0,1.035,hard,2
1.0,1.937,hard,2
1.0,1.099,hard,2
1.0,1.706,easy,3
1.0,0.425000000002,easy,3
1.0,0.660000000002,easy,3
1.0,0.764000000002,easy,3
1.0,0.796000000002,easy,3
1.0,1.123,easy,3
0.0,0.517999999998,easy,3
1.0,1.218,easy,3
1.0,1.427,easy,3
1.0,2.575,easy,3
0.0,1.74,easy,3
1.0,0.861000000002,easy,3
1.0,1.285,easy,3
0.0,0.950999999998,easy,3
0.0,1.283,easy,3
1.0,1.656,hard,3
0.0,0.676999999998,hard,3
0.0,0.971999999998,hard,3
1.0,0.496000000002,hard,3
1.0,0.634000000002,hard,3
1.0,0.868000000002,hard,3
1.0,1.103,hard,3
1.0,0.582000000002,hard,3
1.0,0.941000000002,hard,3
0.0,0.434999999998,hard,3
1.0,0.735000000002,hard,3
